fuel,split,method,segment_type,segment_value,observations,mae_mw,rmse_mw,nmae_vs_available_capacity,nrmse_vs_available_capacity
Wind,validation,linear_residual,hour_block,Evening,2196,61.571129979443704,85.23590150366643,0.012616118920983183,0.01746510531910788
Wind,validation,linear_residual,hour_block,Morning,2196,78.43924864250505,108.97165431174426,0.01616225307136281,0.022453395271778427
Wind,validation,linear_residual,hour_block,Overnight,2196,71.46741958722117,110.82866118823365,0.01465109061946592,0.02272029363423715
Wind,validation,gradient_boosted,season,Fall,2184,52.20698398504595,94.67794333239054,0.010674829511137632,0.019358921477400672
Wind,validation,gradient_boosted,season,Spring,2208,54.69111835027559,96.67146723707333,0.01118245289812487,0.019765990558972484
Wind,validation,gradient_boosted,season,Summer,2208,39.833066621796625,83.38612841662125,0.008228014513341746,0.017224440220424898
Wind,validation,gradient_boosted,season,Winter,2184,37.99590151240815,67.06803189343917,0.00782906517179906,0.013819385032002996
Wind,validation,gradient_boosted,hour_block,Afternoon,2196,45.291087789898434,85.68282892982258,0.009311143143750986,0.017615056825926928
Wind,validation,gradient_boosted,hour_block,Evening,2196,39.81906759082398,69.13131673754063,0.008159052663419082,0.014165225056226064
Wind,validation,gradient_boosted,hour_block,Morning,2196,42.46116412512666,80.72615765562944,0.008749039443540645,0.016633466180373497
Wind,validation,gradient_boosted,hour_block,Overnight,2196,57.1793646220085,105.54029871988575,0.011721985451260415,0.021636159378378254
Wind,validation,best_ml,season,Fall,2184,52.20698398504595,94.67794333239054,0.010674829511137632,0.019358921477400672
Wind,validation,best_ml,season,Spring,2208,54.69111835027559,96.67146723707333,0.01118245289812487,0.019765990558972484
Wind,validation,best_ml,season,Summer,2208,39.833066621796625,83.38612841662125,0.008228014513341746,0.017224440220424898
Wind,validation,best_ml,season,Winter,2184,37.99590151240815,67.06803189343917,0.00782906517179906,0.013819385032002996
Wind,validation,best_ml,hour_block,Afternoon,2196,45.291087789898434,85.68282892982258,0.009311143143750986,0.017615056825926928
Wind,validation,best_ml,hour_block,Evening,2196,39.81906759082398,69.13131673754063,0.008159052663419082,0.014165225056226064
Wind,validation,best_ml,hour_block,Morning,2196,42.46116412512666,80.72615765562944,0.008749039443540645,0.016633466180373497
Wind,validation,best_ml,hour_block,Overnight,2196,57.1793646220085,105.54029871988575,0.011721985451260415,0.021636159378378254
Wind,test,seasonal_naive,season,Fall,2184,946.2875457875458,1296.0004370307454,0.19439372241387015,0.2662344551884991
Wind,test,seasonal_naive,season,Spring,2207,1163.2972360670594,1504.154520478903,0.24225443520323206,0.31323731589782566
Wind,test,seasonal_naive,season,Summer,2208,669.4211956521739,930.6373074443375,0.13862593678689095,0.19271942596262515
Wind,test,seasonal_naive,season,Winter,2160,1351.161574074074,1658.1145507551419,0.2831012317799917,0.3474153504348946
Wind,test,seasonal_naive,hour_block,Afternoon,2190,1099.1374429223745,1453.0002726212556,0.2284148870674741,0.3019521310250117
Wind,test,seasonal_naive,hour_block,Evening,2190,1018.8913242009132,1336.3982908477628,0.21093154091895425,0.27666203850646426
Wind,test,seasonal_naive,hour_block,Morning,2190,1056.2292237442923,1429.0835595203396,0.21996765257096257,0.2976173626413007
Wind,test,seasonal_naive,hour_block,Overnight,2189,949.7738693467337,1265.3955821965983,0.19673038771041976,0.2621063513400452
Wind,test,ieso_raw,season,Fall,2184,35.55723443223443,56.28895476531278,0.0073044427043284215,0.011563313388541394
Wind,test,ieso_raw,season,Spring,2207,117.78658812868147,285.63094255016097,0.02452883278404399,0.059482100119136905
Wind,test,ieso_raw,season,Summer,2208,44.374547101449274,123.88773077652412,0.009189226754972179,0.025655077620549832
Wind,test,ieso_raw,season,Winter,2160,46.745370370370374,71.76973854188387,0.00979429269288728,0.015037506820499159
Wind,test,ieso_raw,hour_block,Afternoon,2190,58.704109589041096,122.80595749533909,0.012199468454578375,0.025520656304756563
Wind,test,ieso_raw,hour_block,Evening,2190,51.647488584474885,129.3388491503747,0.010692096490527388,0.026775812202904866
Wind,test,ieso_raw,hour_block,Morning,2190,48.80228310502283,105.62584737981133,0.010163441243048098,0.021997374411390793
Wind,test,ieso_raw,hour_block,Overnight,2189,85.89036089538602,250.98778451598966,0.017790807417305873,0.05198808448201676
Wind,test,linear_residual,season,Fall,2184,56.57271513522975,73.94262248367977,0.011621605643181382,0.015189866646383181
Wind,test,linear_residual,season,Spring,2207,96.97825144408232,149.66021261309993,0.02019553627584557,0.031166454415002275
Wind,test,linear_residual,season,Summer,2208,65.05114852936393,94.08278378976685,0.013471005194511089,0.019482971443216198
Wind,test,linear_residual,season,Winter,2160,70.24436531253973,90.6142548706608,0.014717904007306756,0.01898589159352738
Wind,test,linear_residual,hour_block,Afternoon,2190,77.85973627430192,111.65056834814841,0.016180253873358395,0.023202423067724316
Wind,test,linear_residual,hour_block,Evening,2190,65.9864815458728,99.1725386829603,0.013660564087349615,0.02053076309943779
Wind,test,linear_residual,hour_block,Morning,2190,74.66666288644875,102.04438143250731,0.01554989219311335,0.021251507283800288
Wind,test,linear_residual,hour_block,Overnight,2189,70.53602881354382,111.08061148894068,0.014610404375081725,0.023008562849134318
Wind,test,gradient_boosted,season,Fall,2184,29.54579266435867,46.01323895099087,0.006069525741156268,0.009452396197984199
Wind,test,gradient_boosted,season,Spring,2207,77.36294786810251,143.47462352607633,0.016110686641710448,0.02987831726121487
Wind,test,gradient_boosted,season,Summer,2208,34.39064696462058,72.49806377556344,0.007121727969090029,0.015013136828349257
Wind,test,gradient_boosted,season,Winter,2160,51.6159799783845,74.40954366786055,0.010814803937438607,0.015590610236968998
Wind,test,gradient_boosted,hour_block,Afternoon,2190,49.31848600742174,90.05172780648839,0.010249015247604137,0.018713906408702557
Wind,test,gradient_boosted,hour_block,Evening,2190,42.70780192649873,83.48401204133461,0.008841396776719935,0.017282914167304143
Wind,test,gradient_boosted,hour_block,Morning,2190,42.82549283496801,75.40985113985545,0.0089187298716354,0.015704666717284023
Wind,test,gradient_boosted,hour_block,Overnight,2189,58.18533690780656,113.38699673487375,0.012052157106414656,0.023486293473534512
Wind,test,best_ml,season,Fall,2184,29.54579266435867,46.01323895099087,0.006069525741156268,0.009452396197984199
Wind,test,best_ml,season,Spring,2207,77.36294786810251,143.47462352607633,0.016110686641710448,0.02987831726121487
Wind,test,best_ml,season,Summer,2208,34.39064696462058,72.49806377556344,0.007121727969090029,0.015013136828349257
Wind,test,best_ml,season,Winter,2160,51.6159799783845,74.40954366786055,0.010814803937438607,0.015590610236968998
Wind,test,best_ml,hour_block,Afternoon,2190,49.31848600742174,90.05172780648839,0.010249015247604137,0.018713906408702557
Wind,test,best_ml,hour_block,Evening,2190,42.70780192649873,83.48401204133461,0.008841396776719935,0.017282914167304143
Wind,test,best_ml,hour_block,Morning,2190,42.82549283496801,75.40985113985545,0.0089187298716354,0.015704666717284023
Wind,test,best_ml,hour_block,Overnight,2189,58.18533690780656,113.38699673487375,0.012052157106414656,0.023486293473534512
